Chinese,Code,English,centerX,centerY
英国,GBR,United Kingdom,-3.8,55.1
约旦,JOR,Jordan,36.6,31.2
越南,VNM,Vietnam,105.8,15.8
赞比亚,ZMB,Zambia,28.5,-13
泽西岛,JEY,Jersey,-2.1,49.2
乍得,TCD,Chad,18.6,13.1
直布罗陀,GIB,Gibraltar,,
智利,CHL,Chile,-72.5,-45.8
中非,CAF,Central African Republic,20.6,6.7
中国,CHN,China,106.6,34
中国台湾,TWN,Taiwan,120,25
中国香港,HKG,Hong Kong,115,17
中国澳门,MAC,Macau,115.5,17
